year,under_55_pct,over_55_pct
1989.50,44.00,56.00
1989.75,43.70,56.20
1990.00,43.70,56.20
1990.25,43.50,56.60
1990.50,43.60,56.40
1990.75,43.50,56.50
1991.00,43.30,56.60
1991.25,43.40,56.70
1991.50,43.60,56.50
1991.75,43.40,56.50
1992.00,43.40,56.50
1992.25,43.60,56.50
1992.50,43.80,56.20
1992.75,43.80,56.20
1993.00,43.50,56.50
1993.25,43.80,56.20
1993.50,43.80,56.10
1993.75,43.80,56.10
1994.00,43.80,56.20
1994.25,43.80,56.20
1994.50,44.00,56.00
1994.75,43.90,56.00
1995.00,44.00,56.00
1995.25,44.20,55.80
1995.50,44.20,55.80
1995.75,44.00,55.90
1996.00,44.00,55.90
1996.25,44.00,56.00
1996.50,44.00,56.00
1996.75,43.90,56.00
1997.00,44.00,56.00
1997.25,44.00,56.10
1997.50,43.90,56.10
1997.75,43.70,56.20
1998.00,43.60,56.40
1998.25,43.50,56.50
1998.50,43.90,56.20
1998.75,43.60,56.50
1999.00,43.70,56.20
1999.25,43.70,56.30
1999.50,43.90,56.00
1999.75,43.70,56.30
2000.00,44.00,56.10
2000.25,44.20,55.90
2000.50,44.30,55.70
2000.75,44.40,55.60
2001.00,44.60,55.40
2001.25,44.50,55.60
2001.50,44.60,55.40
2001.75,44.00,55.90
2002.00,43.70,56.30
2002.25,43.40,56.70
2002.50,43.10,56.90
2002.75,42.70,57.20
2003.00,42.30,57.70
2003.25,41.80,58.20
2003.50,41.50,58.50
2003.75,40.90,59.10
2004.00,40.20,59.70
2004.25,40.10,59.90
2004.50,39.60,60.40
2004.75,39.50,60.50
2005.00,39.50,60.50
2005.25,39.40,60.60
2005.50,39.40,60.60
2005.75,39.40,60.60
2006.00,39.10,60.90
2006.25,39.10,60.90
2006.50,39.10,60.90
2006.75,39.00,61.00
2007.00,38.80,61.20
2007.25,38.70,61.30
2007.50,38.40,61.50
2007.75,37.80,62.20
2008.00,37.30,62.70
2008.25,36.80,63.20
2008.50,36.30,63.70
2008.75,35.60,64.30
2009.00,35.00,65.00
2009.25,34.70,65.40
2009.50,34.00,66.00
2009.75,33.60,66.40
2010.00,33.10,66.90
2010.25,32.60,67.50
2010.50,32.00,68.00
2010.75,31.90,68.20
2011.00,31.70,68.20
2011.25,31.60,68.40
2011.50,31.50,68.50
2011.75,31.40,68.60
2012.00,31.20,68.80
2012.25,31.20,68.80
2012.50,31.10,68.90
2012.75,31.10,69.00
2013.00,30.90,69.00
2013.25,31.10,68.80
2013.50,31.30,68.80
2013.75,30.70,69.20
2014.00,30.30,69.70
2014.25,29.90,70.10
2014.50,29.40,70.70
2014.75,28.90,71.10
2015.00,28.50,71.40
2015.25,28.20,71.80
2015.50,27.90,72.20
2015.75,27.60,72.40
2016.00,27.20,72.80
2016.25,26.80,73.20
2016.50,26.70,73.30
2016.75,26.90,73.10
2017.00,27.10,72.90
2017.25,27.40,72.70
2017.50,27.50,72.50
2017.75,27.70,72.20
2018.00,28.00,72.00
2018.25,28.10,71.90
2018.50,28.20,71.90
2018.75,28.40,71.70
2019.00,28.30,71.70
2019.25,28.40,71.60
2019.50,28.70,71.30
2019.75,28.40,71.60
2020.00,28.50,71.40
2020.25,28.40,71.60
2020.50,28.30,71.70
2020.75,28.10,72.00
2021.00,28.10,71.90
2021.25,27.90,72.10
2021.50,27.80,72.20
2021.75,27.70,72.40
2022.00,27.70,72.20
2022.25,27.90,72.10
2022.50,27.60,72.40
2022.75,27.10,72.80
2023.00,27.00,73.00
2023.25,27.10,72.90
2023.50,27.10,72.90
2023.75,26.80,73.20
2024.00,26.70,73.30
2024.25,26.70,73.30
2024.50,26.60,73.40
2024.75,26.60,73.30
2025.00,26.70,73.40
2025.25,26.60,73.50
2025.50,26.30,73.70
2025.75,26.40,73.60
