year,bottom_90_pct,richest_10_pct
1989.50,39.20,60.80
1989.75,39.10,60.80
1990.00,39.60,60.40
1990.25,39.50,60.50
1990.50,40.20,59.80
1990.75,40.00,60.00
1991.00,39.80,60.10
1991.25,40.00,59.90
1991.50,40.30,59.70
1991.75,40.00,60.00
1992.00,40.30,59.70
1992.25,40.50,59.50
1992.50,40.80,59.20
1992.75,40.40,59.60
1993.00,39.90,60.10
1993.25,39.90,60.10
1993.50,39.80,60.20
1993.75,39.50,60.50
1994.00,39.40,60.60
1994.25,39.30,60.60
1994.50,39.40,60.60
1994.75,39.20,60.80
1995.00,39.00,61.00
1995.25,39.10,60.90
1995.50,38.80,61.20
1995.75,38.50,61.40
1996.00,38.50,61.60
1996.25,38.50,61.50
1996.50,38.60,61.40
1996.75,38.40,61.70
1997.00,38.40,61.50
1997.25,38.00,62.00
1997.50,37.80,62.10
1997.75,37.50,62.50
1998.00,37.10,62.90
1998.25,37.00,63.00
1998.50,37.80,62.20
1998.75,36.90,63.10
1999.00,37.10,62.90
1999.25,36.70,63.30
1999.50,37.10,62.90
1999.75,36.10,63.80
2000.00,36.20,63.80
2000.25,36.60,63.40
2000.50,36.90,63.10
2000.75,37.40,62.60
2001.00,38.20,61.80
2001.25,38.00,62.00
2001.50,38.70,61.40
2001.75,38.30,61.80
2002.00,38.30,61.80
2002.25,38.40,61.60
2002.50,39.00,61.00
2002.75,38.90,61.10
2003.00,38.90,61.00
2003.25,38.10,61.90
2003.50,37.90,62.00
2003.75,37.40,62.60
2004.00,36.90,63.10
2004.25,36.90,63.10
2004.50,36.70,63.30
2004.75,36.40,63.60
2005.00,36.40,63.60
2005.25,36.00,64.10
2005.50,35.80,64.20
2005.75,35.80,64.10
2006.00,35.00,65.00
2006.25,35.00,65.00
2006.50,34.80,65.30
2006.75,34.30,65.60
2007.00,33.80,66.20
2007.25,33.40,66.50
2007.50,33.00,67.00
2007.75,32.90,67.10
2008.00,33.00,67.00
2008.25,33.00,67.00
2008.50,33.10,67.10
2008.75,33.50,66.50
2009.00,33.60,66.40
2009.25,33.20,66.80
2009.50,32.60,67.50
2009.75,32.40,67.70
2010.00,32.10,67.90
2010.25,32.00,68.00
2010.50,31.50,68.50
2010.75,31.10,68.90
2011.00,30.90,69.20
2011.25,30.90,69.00
2011.50,31.40,68.60
2011.75,31.20,68.80
2012.00,30.80,69.10
2012.25,31.10,69.00
2012.50,30.90,69.10
2012.75,31.00,69.00
2013.00,30.90,69.20
2013.25,31.00,69.00
2013.50,31.00,69.00
2013.75,30.90,69.20
2014.00,30.60,69.40
2014.25,30.30,69.70
2014.50,30.30,69.70
2014.75,30.10,70.00
2015.00,29.90,69.90
2015.25,29.90,70.20
2015.50,30.10,69.90
2015.75,30.10,69.90
2016.00,30.10,69.90
2016.25,29.90,70.20
2016.50,30.00,70.00
2016.75,30.10,69.90
2017.00,30.00,70.00
2017.25,30.00,70.00
2017.50,30.00,70.00
2017.75,29.80,70.10
2018.00,30.10,69.90
2018.25,30.10,69.90
2018.50,29.90,70.20
2018.75,30.40,69.60
2019.00,29.70,70.30
2019.25,29.80,70.30
2019.50,29.90,70.10
2019.75,29.90,70.10
2020.00,31.40,68.50
2020.25,31.30,68.80
2020.50,31.40,68.60
2020.75,31.20,68.90
2021.00,31.40,68.60
2021.25,31.50,68.40
2021.50,31.80,68.20
2021.75,31.80,68.10
2022.00,32.60,67.40
2022.25,34.00,65.90
2022.50,34.10,65.90
2022.75,33.60,66.40
2023.00,33.40,66.60
2023.25,33.50,66.50
2023.50,33.60,66.30
2023.75,33.20,66.80
2024.00,33.00,67.00
2024.25,33.10,66.90
2024.50,32.60,67.40
2024.75,32.60,67.40
2025.00,32.80,67.20
2025.25,32.60,67.60
2025.50,31.90,68.10
2025.75,31.70,68.30
