year,under_55_pct,over_55_pct
1989.50,57.90,42.20
1989.75,57.20,42.80
1990.00,57.20,42.80
1990.25,56.60,43.50
1990.50,56.80,43.20
1990.75,56.80,43.20
1991.00,56.40,43.60
1991.25,56.30,43.70
1991.50,56.50,43.50
1991.75,56.40,43.60
1992.00,56.10,43.90
1992.25,55.80,44.20
1992.50,56.10,43.90
1992.75,56.50,43.60
1993.00,55.50,44.50
1993.25,55.70,44.20
1993.50,56.10,43.90
1993.75,56.10,43.90
1994.00,55.40,44.50
1994.25,55.30,44.60
1994.50,55.70,44.30
1994.75,55.90,44.10
1995.00,55.90,44.10
1995.25,56.50,43.40
1995.50,57.20,42.90
1995.75,57.00,43.00
1996.00,56.60,43.40
1996.25,56.50,43.50
1996.50,56.40,43.60
1996.75,55.90,44.10
1997.00,55.60,44.40
1997.25,55.60,44.40
1997.50,55.70,44.40
1997.75,55.10,45.00
1998.00,54.90,45.10
1998.25,54.70,45.30
1998.50,55.40,44.60
1998.75,55.00,45.00
1999.00,55.50,44.60
1999.25,55.30,44.80
1999.50,55.70,44.20
1999.75,55.70,44.30
2000.00,55.80,44.20
2000.25,55.90,44.10
2000.50,56.30,43.60
2000.75,56.10,43.90
2001.00,55.80,44.20
2001.25,55.90,44.10
2001.50,56.10,43.90
2001.75,55.70,44.30
2002.00,55.30,44.70
2002.25,55.00,44.90
2002.50,55.10,44.80
2002.75,55.10,44.90
2003.00,54.70,45.40
2003.25,54.50,45.60
2003.50,54.50,45.50
2003.75,54.40,45.60
2004.00,54.00,46.00
2004.25,54.30,45.70
2004.50,53.90,46.10
2004.75,53.70,46.40
2005.00,53.40,46.60
2005.25,52.90,47.10
2005.50,52.80,47.20
2005.75,52.70,47.30
2006.00,52.40,47.50
2006.25,52.40,47.50
2006.50,52.60,47.40
2006.75,52.40,47.60
2007.00,52.10,47.80
2007.25,52.10,47.90
2007.50,52.10,48.00
2007.75,51.40,48.50
2008.00,51.10,48.80
2008.25,51.00,49.00
2008.50,50.60,49.40
2008.75,50.00,50.00
2009.00,49.50,50.50
2009.25,49.40,50.60
2009.50,49.10,50.80
2009.75,48.60,51.40
2010.00,48.10,51.90
2010.25,47.60,52.40
2010.50,47.10,53.00
2010.75,46.70,53.30
2011.00,46.30,53.70
2011.25,45.90,54.20
2011.50,45.80,54.20
2011.75,45.30,54.60
2012.00,44.70,55.30
2012.25,44.60,55.40
2012.50,44.30,55.60
2012.75,44.00,56.10
2013.00,43.40,56.60
2013.25,43.20,56.80
2013.50,43.00,57.00
2013.75,42.80,57.10
2014.00,42.50,57.60
2014.25,42.40,57.60
2014.50,42.00,58.00
2014.75,41.50,58.50
2015.00,41.30,58.70
2015.25,41.10,58.90
2015.50,41.20,58.80
2015.75,41.10,58.90
2016.00,40.90,59.10
2016.25,40.50,59.50
2016.50,40.80,59.20
2016.75,40.90,59.20
2017.00,40.90,59.20
2017.25,41.00,59.00
2017.50,41.20,58.80
2017.75,41.30,58.60
2018.00,41.50,58.60
2018.25,41.60,58.30
2018.50,41.70,58.30
2018.75,42.00,58.00
2019.00,41.90,58.10
2019.25,41.80,58.10
2019.50,42.30,57.60
2019.75,42.30,57.80
2020.00,42.00,58.00
2020.25,41.80,58.20
2020.50,41.70,58.40
2020.75,41.50,58.50
2021.00,41.00,58.90
2021.25,40.60,59.30
2021.50,40.40,59.60
2021.75,40.30,59.70
2022.00,40.00,60.10
2022.25,39.90,60.10
2022.50,40.00,60.00
2022.75,39.80,60.20
2023.00,39.80,60.20
2023.25,39.50,60.60
2023.50,39.40,60.60
2023.75,39.30,60.80
2024.00,39.00,61.00
2024.25,38.80,61.10
2024.50,38.90,61.10
2024.75,39.00,61.00
2025.00,38.70,61.30
2025.25,38.50,61.60
2025.50,38.60,61.40
2025.75,38.80,61.20
