year,bottom_90_pct,richest_10_pct
1989.50,61.70,38.40
1989.75,61.10,39.00
1990.00,61.30,38.70
1990.25,60.80,39.30
1990.50,61.10,38.90
1990.75,61.10,38.90
1991.00,60.70,39.30
1991.25,60.60,39.30
1991.50,61.00,39.00
1991.75,60.90,39.10
1992.00,60.60,39.50
1992.25,60.40,39.60
1992.50,61.00,38.90
1992.75,61.30,38.70
1993.00,60.40,39.60
1993.25,61.00,39.00
1993.50,61.80,38.30
1993.75,62.00,38.00
1994.00,61.70,38.30
1994.25,62.00,38.00
1994.50,62.80,37.20
1994.75,63.10,36.80
1995.00,63.50,36.50
1995.25,64.60,35.50
1995.50,65.20,34.80
1995.75,64.90,35.10
1996.00,64.60,35.50
1996.25,64.70,35.30
1996.50,64.50,35.50
1996.75,63.70,36.30
1997.00,63.40,36.70
1997.25,63.40,36.50
1997.50,63.40,36.60
1997.75,62.60,37.50
1998.00,62.50,37.50
1998.25,62.30,37.80
1998.50,62.90,37.10
1998.75,61.80,38.20
1999.00,61.70,38.30
1999.25,61.30,38.70
1999.50,61.50,38.60
1999.75,60.90,39.00
2000.00,60.90,39.10
2000.25,60.70,39.30
2000.50,60.90,39.10
2000.75,60.50,39.50
2001.00,60.30,39.70
2001.25,60.30,39.70
2001.50,60.40,39.50
2001.75,60.40,39.70
2002.00,60.00,40.00
2002.25,59.60,40.40
2002.50,59.80,40.20
2002.75,59.90,40.10
2003.00,59.60,40.40
2003.25,59.40,40.60
2003.50,59.50,40.40
2003.75,59.50,40.40
2004.00,59.30,40.70
2004.25,59.50,40.50
2004.50,59.10,40.80
2004.75,59.30,40.70
2005.00,59.10,40.90
2005.25,58.60,41.40
2005.50,58.70,41.40
2005.75,58.80,41.20
2006.00,58.60,41.50
2006.25,58.60,41.40
2006.50,58.80,41.10
2006.75,58.90,41.20
2007.00,58.60,41.40
2007.25,58.40,41.50
2007.50,58.50,41.50
2007.75,58.30,41.80
2008.00,58.20,41.80
2008.25,58.30,41.70
2008.50,58.10,41.90
2008.75,57.90,42.20
2009.00,57.70,42.20
2009.25,57.70,42.40
2009.50,57.60,42.30
2009.75,57.30,42.60
2010.00,57.10,42.90
2010.25,56.80,43.20
2010.50,56.90,43.00
2010.75,56.50,43.50
2011.00,56.40,43.60
2011.25,56.00,44.00
2011.50,56.20,43.80
2011.75,56.00,44.00
2012.00,55.50,44.50
2012.25,55.50,44.50
2012.50,55.40,44.60
2012.75,55.30,44.70
2013.00,55.00,45.00
2013.25,54.90,45.20
2013.50,55.10,44.90
2013.75,55.10,44.90
2014.00,54.80,45.20
2014.25,54.70,45.30
2014.50,54.70,45.30
2014.75,54.50,45.50
2015.00,54.20,45.70
2015.25,54.10,45.90
2015.50,54.30,45.70
2015.75,54.50,45.50
2016.00,54.20,45.70
2016.25,53.90,46.00
2016.50,54.50,45.50
2016.75,54.50,45.40
2017.00,54.50,45.50
2017.25,54.60,45.50
2017.50,54.70,45.30
2017.75,54.80,45.20
2018.00,54.80,45.20
2018.25,54.80,45.10
2018.50,54.90,45.10
2018.75,55.10,44.90
2019.00,54.70,45.30
2019.25,54.70,45.20
2019.50,55.20,44.80
2019.75,55.20,44.80
2020.00,55.40,44.50
2020.25,55.50,44.50
2020.50,55.70,44.30
2020.75,55.70,44.30
2021.00,55.70,44.40
2021.25,55.80,44.30
2021.50,55.80,44.20
2021.75,55.80,44.30
2022.00,55.80,44.20
2022.25,56.00,44.00
2022.50,56.00,44.10
2022.75,56.00,44.10
2023.00,56.00,44.00
2023.25,56.30,43.70
2023.50,56.30,43.60
2023.75,56.20,43.70
2024.00,56.30,43.70
2024.25,56.40,43.50
2024.50,56.40,43.60
2024.75,56.40,43.60
2025.00,56.20,43.80
2025.25,56.20,43.80
2025.50,56.30,43.60
2025.75,56.50,43.60
