year,under_55_pct,over_55_pct
1989.50,41.40,58.70
1989.75,41.10,58.90
1990.00,41.60,58.50
1990.25,41.30,58.70
1990.50,42.90,57.20
1990.75,42.00,58.00
1991.00,40.80,59.10
1991.25,41.00,59.00
1991.50,40.60,59.50
1991.75,39.40,60.60
1992.00,39.80,60.20
1992.25,40.00,60.00
1992.50,39.80,60.30
1992.75,39.20,60.70
1993.00,39.50,60.50
1993.25,39.80,60.20
1993.50,39.90,60.10
1993.75,40.00,60.00
1994.00,40.90,59.20
1994.25,41.60,58.50
1994.50,41.80,58.10
1994.75,42.40,57.60
1995.00,42.30,57.70
1995.25,42.20,57.80
1995.50,42.00,58.00
1995.75,41.70,58.30
1996.00,41.80,58.30
1996.25,41.70,58.20
1996.50,42.00,58.00
1996.75,41.90,58.10
1997.00,42.10,57.90
1997.25,41.30,58.70
1997.50,40.90,59.10
1997.75,41.10,59.00
1998.00,40.40,59.70
1998.25,40.40,59.50
1998.50,41.60,58.40
1998.75,40.40,59.60
1999.00,40.40,59.60
1999.25,39.90,60.10
1999.50,40.30,59.80
1999.75,39.30,60.70
2000.00,39.00,61.00
2000.25,39.30,60.70
2000.50,39.40,60.70
2000.75,39.90,60.00
2001.00,40.50,59.50
2001.25,40.00,60.00
2001.50,40.70,59.30
2001.75,40.20,59.80
2002.00,40.20,59.80
2002.25,40.70,59.30
2002.50,41.80,58.30
2002.75,41.50,58.50
2003.00,41.80,58.30
2003.25,40.80,59.20
2003.50,40.40,59.50
2003.75,39.70,60.20
2004.00,39.30,60.60
2004.25,39.40,60.60
2004.50,39.40,60.60
2004.75,38.70,61.30
2005.00,38.50,61.50
2005.25,38.20,61.90
2005.50,37.70,62.40
2005.75,37.40,62.50
2006.00,36.50,63.50
2006.25,36.50,63.50
2006.50,36.20,63.80
2006.75,35.60,64.40
2007.00,35.20,64.80
2007.25,34.90,65.10
2007.50,34.70,65.30
2007.75,34.80,65.20
2008.00,35.10,65.00
2008.25,35.00,64.90
2008.50,35.60,64.50
2008.75,36.90,63.10
2009.00,37.30,62.60
2009.25,35.70,64.30
2009.50,34.50,65.60
2009.75,34.00,66.00
2010.00,33.40,66.70
2010.25,33.50,66.50
2010.50,32.60,67.40
2010.75,32.30,67.70
2011.00,32.00,68.00
2011.25,32.00,68.00
2011.50,33.00,67.10
2011.75,32.60,67.40
2012.00,32.00,67.90
2012.25,32.20,67.80
2012.50,31.90,68.10
2012.75,31.90,68.10
2013.00,31.20,68.80
2013.25,31.20,68.80
2013.50,30.80,69.10
2013.75,29.90,70.10
2014.00,29.00,70.90
2014.25,28.30,71.70
2014.50,27.80,72.10
2014.75,27.20,72.70
2015.00,26.70,73.30
2015.25,26.20,73.80
2015.50,25.90,74.00
2015.75,25.30,74.60
2016.00,24.90,75.10
2016.25,24.50,75.60
2016.50,24.00,76.00
2016.75,24.20,75.80
2017.00,24.30,75.70
2017.25,24.50,75.50
2017.50,24.60,75.40
2017.75,24.70,75.30
2018.00,24.90,75.10
2018.25,25.00,74.90
2018.50,25.10,74.90
2018.75,25.80,74.20
2019.00,25.60,74.50
2019.25,25.60,74.40
2019.50,26.00,74.10
2019.75,25.10,74.80
2020.00,25.60,74.40
2020.25,24.50,75.40
2020.50,23.90,76.10
2020.75,23.20,76.80
2021.00,22.80,77.20
2021.25,22.40,77.50
2021.50,22.20,77.80
2021.75,22.00,78.10
2022.00,21.80,78.30
2022.25,21.60,78.40
2022.50,21.30,78.70
2022.75,21.20,78.70
2023.00,21.30,78.80
2023.25,21.20,78.80
2023.50,21.20,78.80
2023.75,21.20,78.90
2024.00,21.00,79.00
2024.25,21.10,78.90
2024.50,21.00,79.00
2024.75,21.10,78.90
2025.00,21.00,79.00
2025.25,21.00,79.00
2025.50,20.90,79.10
2025.75,20.90,79.20
