year,bottom_90_pct,richest_10_pct
1989.50,18.30,81.60
1989.75,18.60,81.40
1990.00,19.40,80.60
1990.25,19.60,80.30
1990.50,21.50,78.60
1990.75,21.10,78.90
1991.00,20.40,79.50
1991.25,21.00,79.00
1991.50,20.90,79.10
1991.75,20.00,80.00
1992.00,20.70,79.40
1992.25,21.00,79.10
1992.50,21.00,79.00
1992.75,19.90,80.20
1993.00,19.40,80.60
1993.25,19.20,80.90
1993.50,18.70,81.40
1993.75,18.20,81.80
1994.00,18.30,81.70
1994.25,18.30,81.70
1994.50,18.10,81.90
1994.75,18.10,81.90
1995.00,17.60,82.40
1995.25,17.10,83.00
1995.50,16.60,83.40
1995.75,16.80,83.30
1996.00,17.10,82.90
1996.25,17.40,82.60
1996.50,17.80,82.20
1996.75,17.90,82.00
1997.00,18.40,81.70
1997.25,17.80,82.10
1997.50,17.80,82.20
1997.75,18.10,82.00
1998.00,17.60,82.50
1998.25,17.80,82.20
1998.50,18.80,81.20
1998.75,18.20,81.80
1999.00,18.50,81.50
1999.25,18.40,81.60
1999.50,19.00,81.00
1999.75,18.30,81.70
2000.00,18.30,81.70
2000.25,18.90,81.20
2000.50,19.20,80.90
2000.75,20.20,79.90
2001.00,21.10,78.90
2001.25,20.90,79.10
2001.50,22.30,77.70
2001.75,21.30,78.70
2002.00,21.10,78.80
2002.25,21.50,78.50
2002.50,22.50,77.40
2002.75,22.00,78.10
2003.00,22.10,78.00
2003.25,20.70,79.30
2003.50,20.20,79.80
2003.75,19.20,80.80
2004.00,18.70,81.30
2004.25,18.40,81.60
2004.50,18.20,81.80
2004.75,17.70,82.40
2005.00,17.50,82.50
2005.25,17.20,82.80
2005.50,16.80,83.20
2005.75,16.60,83.30
2006.00,15.90,84.00
2006.25,15.90,84.10
2006.50,15.70,84.30
2006.75,15.20,84.80
2007.00,14.90,85.10
2007.25,14.60,85.40
2007.50,14.40,85.60
2007.75,14.60,85.40
2008.00,14.70,85.30
2008.25,14.80,85.10
2008.50,15.20,84.80
2008.75,16.10,83.90
2009.00,16.50,83.50
2009.25,15.60,84.50
2009.50,14.90,85.10
2009.75,14.70,85.30
2010.00,14.50,85.50
2010.25,14.80,85.30
2010.50,14.30,85.70
2010.75,14.20,85.70
2011.00,14.10,85.90
2011.25,14.30,85.70
2011.50,14.90,85.00
2011.75,14.80,85.10
2012.00,14.70,85.40
2012.25,14.90,85.10
2012.50,14.90,85.10
2012.75,15.00,85.10
2013.00,14.70,85.30
2013.25,14.80,85.30
2013.50,14.70,85.30
2013.75,14.40,85.60
2014.00,14.10,85.90
2014.25,13.90,86.10
2014.50,13.80,86.20
2014.75,13.60,86.40
2015.00,13.50,86.60
2015.25,13.30,86.70
2015.50,13.40,86.60
2015.75,13.30,86.70
2016.00,13.20,86.80
2016.25,13.00,86.90
2016.50,12.90,87.20
2016.75,12.80,87.30
2017.00,12.60,87.40
2017.25,12.50,87.50
2017.50,12.40,87.70
2017.75,12.30,87.70
2018.00,12.10,87.90
2018.25,12.00,88.00
2018.50,11.90,88.10
2018.75,11.90,88.10
2019.00,11.70,88.30
2019.25,11.60,88.40
2019.50,11.60,88.50
2019.75,11.70,88.30
2020.00,12.10,87.80
2020.25,12.20,87.80
2020.50,12.20,87.70
2020.75,12.30,87.70
2021.00,12.40,87.60
2021.25,12.40,87.60
2021.50,12.60,87.50
2021.75,12.60,87.40
2022.00,12.80,87.30
2022.25,13.20,86.80
2022.50,13.40,86.60
2022.75,13.40,86.60
2023.00,13.20,86.80
2023.25,13.10,86.80
2023.50,13.20,86.70
2023.75,13.00,86.90
2024.00,12.90,87.10
2024.25,12.90,87.10
2024.50,12.80,87.20
2024.75,12.80,87.20
2025.00,12.80,87.10
2025.25,12.80,87.30
2025.50,12.70,87.40
2025.75,12.60,87.40
