year,total_net_worth,real_estate,stocks,pensions,bonds,time_deposits,mm_funds,checkable,durable_goods,financial_assets
1989,20.82,6.99,2.15,4.62,1.06,2.56,0.38,0.44,1.93,15.13
1990,21.47,7.15,1.97,4.98,1.19,2.61,0.42,0.45,2.04,15.76
1991,22.95,7.33,2.86,5.46,1.21,2.52,0.44,0.49,2.12,17.17
1992,24.07,7.65,3.31,6.02,1.24,2.28,0.42,0.6,2.19,18.08
1993,25.52,8.01,3.86,6.49,1.28,2.15,0.43,0.65,2.3,19.32
1994,26.4,8.36,3.64,6.86,1.6,2.12,0.46,0.62,2.42,20.04
1995,28.57,8.49,4.77,7.53,1.62,2.26,0.55,0.57,2.53,22.3
1996,30.48,8.89,5.4,8.16,1.69,2.39,0.64,0.51,2.63,24.07
1997,33.52,9.33,6.91,8.93,1.6,2.52,0.73,0.47,2.72,26.91
1998,37.21,10.19,8.41,9.81,1.71,2.6,0.93,0.48,2.83,30.05
1999,40.97,11.2,10.3,10.7,1.37,2.68,1.1,0.46,2.99,33.21
2000,42.05,12.83,8.99,11.06,1.28,2.93,1.27,0.35,3.2,32.98
2001,43.63,14.65,8.16,11.26,1.16,3.22,1.54,0.42,3.36,33.2
2002,43.45,16.12,6.43,11.41,1.34,3.51,1.5,0.4,3.53,32.15
2003,48.16,17.74,8.56,12.46,1.28,3.84,1.33,0.38,3.68,36.14
2004,54.63,20.47,9.67,13.61,2.16,4.22,1.21,0.38,3.9,40.77
2005,59.85,23.29,10.64,14.55,2.1,4.68,1.23,0.29,4.11,44.1
2006,64.18,24.11,13.04,15.57,1.95,5.16,1.43,0.24,4.3,48.68
2007,65.68,23.24,13.43,16.45,2.44,5.71,1.91,0.13,4.47,51.72
2008,57.47,20.9,8.11,15.53,3.2,5.92,2.28,0.41,4.57,45.69
2009,58.33,19.42,10.66,16.75,3.09,5.98,1.89,0.45,4.56,47.86
2010,62.37,18.82,12.53,18.34,3.5,5.97,1.72,0.43,4.54,52.29
2011,63.32,18.13,12.07,18.74,3.93,6.33,1.65,0.71,4.64,53.72
2012,67.97,18.53,14.03,19.78,4.02,6.55,1.69,0.81,4.73,57.77
2013,76.18,20.29,17.74,22.32,3.05,6.66,1.62,0.99,4.78,64.4
2014,81.95,21.65,19.97,23.15,3.1,7.2,1.61,0.95,4.85,68.83
2015,84.77,23.18,19.54,23.48,3.15,7.76,1.65,1.05,4.99,70.18
2016,89.61,24.9,21.2,24.37,3.04,8.46,1.49,0.97,5.14,73.55
2017,97.89,26.75,25.2,25.97,3.03,8.59,1.57,1.17,5.27,80.39
2018,97.84,27.75,23.08,25.85,3.66,9.03,1.73,1.0,5.47,79.61
2019,108.96,28.57,29.26,28.08,4.03,9.54,2.16,0.98,5.67,90.17
2020,123.12,32.29,34.74,29.78,3.43,9.98,2.56,2.91,6.02,100.76
2021,143.24,39.19,43.29,31.62,2.45,10.73,2.66,3.85,7.0,114.56
2022,135.49,41.96,34.19,28.31,4.21,9.97,2.92,4.29,7.64,104.51
2023,147.79,44.8,40.52,30.63,5.26,9.51,3.85,4.12,7.86,114.24
2024,161.09,46.93,48.37,32.62,5.53,9.49,4.49,4.32,8.11,125.44
2025,175.25,47.92,57.67,34.59,5.88,8.92,5.08,5.61,8.65,138.64
